instagram_comments,offensive_language,offensiveness_levels,hate_speech
Deputada para dessas birrinhas de criança e vai trabalhar foi pra isso que a senhora foi eleita,1,1,-1
"Palhaçada, pirralha",1,1,-1
Continua sendo Pirralha só que agora com um título.Ah Ah ah @joicehasselmannoficial,1,2,-1
É bom para imagem do Brasil a Senhora ficar igual criança mimada que perdeu o doce tentando de todas as maneiras atacar o Presidente? Logo vc que era tão a favor dele....Hipócrita!!!!!!O Brasil acordou aproveita seu mandato que será o ultimo!🐍🐍🐍🐍,1,3,-1
"Dá para ver o nível dos critérios usados para essa escolha, pra quem tem um pouquinho de conhecimento, a escolha dessa peça de manobra do comunismo não altera em nada nossas vidas!",1,2,5
VOCÊ SERÁ TOMBADA LOGO LOGO ESQUERDOPATA EMBUTIDA.,1,1,5
Essa pirralha não estuda ????,1,1,-1
"É tanta gente querendo se meter aqui no Brasil principalmente na Amazônia que dá nojo, agora ainda usam uma pirralha que se duvidar não sabe nem lavar o fundo da calcinha pra ficar opinando aqui,tem que mandar esse povo cuida do país deles que pode ser primeiro mundo pra eles pra nós o Brasil en",1,1,-1
Piralha nem estudo tem e quer se meter em assuntos de nunca viu. E o pior é você dando moral pra esse assunto que desrespeita o presidente do nosso país.,1,1,-1
Não passa de uma boneca de ventríloquo!,1,1,-1
Continua sendo uma PIRRALHA,1,1,-1
"Vc é pessoa horrível Joice, a pior d todas.. votei em vc por causa do Presidente, não voto nunca mais para nada.",1,2,-1
A pertubada do ano!!!,1,1,-1
@joicehasselmannoficial está igual mulher chifruda !!!,1,1,8
"Marionete, na minha opinião ela foi e é uma marionete. Deveria estar estudando e não querendo aparecer por aí, é notório que ela não tem conhecimento nem capacidade de julgar nada nesses assuntos abordados.",1,2,-1
"@joicehasselmannoficial, tao pirralha é mimada qto a Greta. Cresce um pouquinho vai !!!",1,1,-1
Ela é uma pirralha sim!,1,1,-1
"Coitada dessa menina, tem que crescer muito ainda. Foi fabricada e agora a exploram",1,2,-1
"@joicehasselmannoficial não estou entendendo... A Joice que conhecia antes de toda confusão com os bolsonaros certamente iria concordar com ele.. Pois vc sabe bem q a mídia esquerdista é mídia esquerdista em qualquer lugar do mundo, e essa imagem está sendo propagada pela mídia esquerdista... A mídia conservadora, os conservadores só redor do mundo pensa a mesma coisa q o bolsonaro, q ela é uma pirralha... Ou vc não acha q ela é uma pirralha, apenas mais um fantoche fabricado pela esquerda??",1,1,5
Mais ela e mesmo uma pirralha e daí ? Mau intencionada e mau informada,1,2,-1
"Tô com meu presidente, está Maria mijona quer meter o bedelho no país dos outros, por que ela não investe toda essa força pra reflorestar o país dela, falar do país dos outros é fácil, agora tá todo mundo preocupado com o nosso verde e outras coisas mais, acho que se ela não nos encher é melhor, manda ver presidente, nós te apoiamos.",1,1,-1
"A Time devia colocar como personalidade do ano as crianças que são vítima de casamento precoce e morrem na primeira relação sexual por inúmeras perfurações internas mais e mais fácil colocar o que bem lhe convir o presidente está certo e uma pirralha sim e deveria estar aprendendo que o mundo inteiro está sendo destruído principalmente pessoas,,,,deviam observa os peixes grandes.....",1,1,-1
ISSO É O BONECO ASSASSINO?,1,1,-1
Pirralha!!!,1,2,-1
"A imagem do Brasil era mais queimada nos anos anteriores. Sim, pirralha, e você está sendo o que neste governo. Vai trabalhar, o país não precisa de mais notícia idiota, precisa de resultados ótimos.",1,1,-1
"Acho que não vou nem dormir hj, preocupado com essa pirralha, vai fazer algo proveitoso e esquece o Brasil. Joice para de dar mídia pra essa sem noção.",1,1,-1
CAPA DA TIME AGORA VIROU LIXO,1,2,-1
"Quem se importa com isso qdo nosso desemprego ainda está alto? Realmente é uma pirralha metida a certinha. Oq precisamos é foco no desenvolvimento interno, geração de empregos, desburocratização, corte de gastos do governo, mais saude e mais educação!!!",1,1,-1
Tem mtas outras pessoas q realmente merecem destaque!!! menos essa tal de Greta🙄,1,2,-1
O q um investidor de valor vai dar atenção p essa pirralha ! Pirralha nunca produziu nada na vida ! Ridículo sua colocação,1,1,-1
Uma pirralha fantoche. Bolsonaro tem razão...,1,1,-1
"Pirralha é o feminino de pirralho. O mesmo que: bambina, menina.",1,1,-1
"Acho que a deputada precisa descobrir o que significa pirralha, não vejo nada de mais. Na minha opinião é uma pirralha fantoche.",1,2,-1
Uma riquinha ignorante que está sendo usada por ativistas e políticos . Pobre jovem,1,1,-1
"CHEGA DE VITIMÍSMO, ELA TÁ SENDO USADA PELO SISTEMA, AS FALAS SÃO SEMPRE AS MESMAS KKK COISA DE ESQUERDA NÉ INFLADO SEMPRE ÓDIO... APESAR DE ALGUNS ERROS O HOME É FORTE MESMO, CONTINUA LEVANTANDO ALGUNS VERMES ATÉ LA DE FORA DO PAÍS...",1,2,5
"Joice, você é muito baixa, covarde e injusta!!!! Sua pessoa não é digna!!!!!",1,2,-1
"Vc está contra ou a favor do 🇧🇷 @joicehasselmannoficial? Desnecessário essas suas postagens sobre essa guria, NÃO ESTA AGREGANDO NADA , INÚTIL, muito pelo contrário vc está se desgastando a toa, vamos focar no q importante para o 🇧🇷! E parar de Mimimi.",1,1,-1
"Um ano fora da escola, pena dessa garota, estão usando sua imagem p/ influenciar e servir de fantoche nas mãos desses fanáticos esquerdopatas. Pior é que ela sofre pois no fundo acredita em tudo que lhe falam. Alguém em sã consciência deveria olhar e afasta-lá do mal e perigo que está correndo, mostrar o verdadeiro caminho !",1,1,5
Pirralha,1,1,-1
Essa sabe se promover kkkkkk.,1,3,-1
"E pirralha sim! Insignificante, igual seus posts!!",1,3,-1
GRETA MENINA FEIA DOS INFERNO PARECE O DEMÔNIO CHUCK Kkkkkkkk,1,3,-1
"Time 1938 Hitler, Time 1940 Stalin, Time 1979 Aiatolá Khomeini, Time 1919 Greta Thumberg ou seja, a Time homenageia seus pseudos ícones de esquerda desde 1938, então deputada Joice toma VERGONHA na cara é assuma de vez a sua esquerdopatia e também lhe garanto que trair e perseguir o Presidente eleito pela maioria absoluta dos BRASILEIROS DE BEM, apenas porá um ponto final em sua pífia carreira política!",1,2,5
"To esa falacia pr esa menina que pr mim nao passa de uma mimada vem de berso familia rica,esta sendo usada pela esquerda,porque ela nao fala do maior poloidor mundial chamado CHINA ai vem esa bosta querer falar.",1,3,5
"Pobre menina!! Teleguiada, por interesses excusos!!! Comunistas por trás.",1,2,5
Os militontos são doentes e não cansam de compartilhar Fake News e passarem vergonha,1,2,5
Patética 💩💩💩💩💩💩💩💩💩💩,1,1,-1
Que lixo de mulher. Não sabe nem falar. Tenho vergonha de ter sido governado por uma mulher dessas.,1,1,-1
👹💩anta 💩👹,1,1,-1
"Messias das Trevas A geração Wi-Fi anestesiada ,assistem as filas de empregos aumentarem, os pedintes em suas casas se multiplicando, as contas da luz ,água ,alimentos aumentarem mais de 100%. Sabem que as matas de seu País estão sendo derrubadas. Os ninhos de pássaros, abelhas,e as diversidades de flora e animais mortos. Ares poluídos pelas fumaças de queimadas.Poluentes de indústrias ,carros inseticidas etc A civilidade , sociabilidade ,educação boas maneiras conquistada há milênios foram popularizadas por arminhas em nosso Brasil .Símbolo de selvageria no modismo dos últimos do ano de 2019. Descortinou um exército tacanho obsoleto em todos sentidos, inclusive no amor a Pátria e ao povo .O representante se transforma em líder maior da Ordem e Progresso. O reflexo desta formação social refletirá gravemente sobre os filhos seus que fugiram à luta, pela defesa,da Previdência Social, falta de investimento na Educação, Justica, Saúde, Preservação Ambiental, respeito ao próximo, Amor Nacional. AcOrDa bRaSil. Maria Cristina Radke",1,1,-1
Olha a jumenta,1,1,-1
Dilma jumenta,1,3,-1
Não suporto mais tantas asneiras e imbecilidade desse estúpido. Acorda Brasil do sono da ignorância Ninguém solta a mão de ninguém. #LULAÉINOCENTE #LULALIVREJÁ #CADÊAPROVA? #EusouLula Recife PE Lula foi e sempre será o melhor e honesto presidente do Brasil e único Presidente que fez pelo povo Brasileiro o que nenhum outro presidente quiz fazer e pelo Brasil. Ninguém solta a mão de ninguém.,1,3,-1
Ele lá sabe disso tudo! Ele é burro e chucro kkk,1,1,-1
"Bolsonaro é perverso, cruel",1,2,-1
"Nao escutei o papo aí,mas me contem, a Dilma conseguiu formular uma frase inteira?",1,3,-1
Como aqueles porcos chauvinistas subestimaram essa mulher!!! Pura misoginia!,1,2,-1
A Dilma poderia fazer stand-up... hahahahaa chorando de rir até 202....chora petralhas...,1,2,5
Entrevistar uma anta dessa!,1,3,-1
Quem e o chefão da quadrilha 🤣 dos petralhas 😂 babaca,1,2,5
Os Bozoloides vão fazer menos o n:2 🤣🤣🤣🤣🤣a mando do Patrão deles🤣🤣🤣🤣🤣,1,2,5
"Dilma terrorista... PT mandou matar, executar o pai do presidente da OAB... Como é que pode falar de moderação",1,3,5
"ontinuará sendo a diva das Américas e a única mulher eleita e reeleita presidente da república federativa do Brasil! Engulam isso, canalhas fascistas.",1,3,5
"#MoroCriminoso #MoroFarsante #MoroMentiu Moro, Dallagnol e Bolsonaro traidores da Pátria #Moronacadeia Bolsonaro governo da Morte, apologia a tortura, ao crime, racismo, Fake News, homofobia , prática crime contra a humanidade #ForaBolsonaros #Cassação do Bolsonaro já #NovasEleições presidenciais Já #LulalivreJá Todos pra rua em defesa de Lula e da Democracia brasileira O POVO UNIDO JAMAIS SERÁ VENCIDO GREVE GERAL INDETERMINADA JÁ ATÉ SOLTAREM LULA",1,2,-1
O Lula vai continuar preso babacas!,1,2,-1
A jumenta Rousseff 🤣🤣🤣🤣🤣🤣🤣,1,3,-1
Esse verme tem q ser preso! !😠,1,3,-1
"Deram asas ao capeta, o pior é vê gente inocente pagando pela a cagada de um monte de gente ruim, falsos moralistas imundos #FORABOLSONARO",1,2,-1
@gleisihoffmann manda a Dilma ir saudar a mandioca e deixa a vida do presidente bolsonaro em paz suas duas capivaras loucas 😂😂😂,1,3,-1
Fora Bozo Imbecil Idiota Nojento Calculista vai procurar tua turma de Doido...,1,3,-1
"😂😂😂 q porra é essa? Um monte de babaca entrevistando a babaca rainha 😂😂kkkk ninguém entende nada, parecem estar todos em transe 😂😂💩",1,3,-1
BOLSONARO E UM BANDIDO NÃO SEI QUE ESTA FAZENDO ESSES POLITICO QUE NÃO CAÇA ESSE TORTURADOR E CONDENA ELE POR CRIMINOSO DE GUERRA.,1,2,-1
Isso é um boçal desqualificado.,1,3,-1
Ele é um vagabundo torturador,1,3,-1
Vcs são bandidos sua pilantra vcs roubaram saquearam o país,1,3,-1
"Se ela fala merda porque, vcs minions , ainda param pra ouvir ? O presidente de vcs é um poço de sabedoria né ?!",1,2,5
Hospício já para a estocasora de vento. Viva ustra.,1,2,2
Disse uma das maiores terroristas do Brasil.,1,2,-1
Falando a BOCÓ que quer estocar o vento 😂😂,1,2,-1
Isso é uma jumenta,1,1,-1
USTRA VIVE EM 😎😎😎😎🇧🇷🇧🇷🇧🇷👏👏👏👏,1,2,2
"Ainda vamos ver muito absurdo antes de grande parte do bolsonarismo chucro acordar, o resto vai ser fiel não importa o que vier",1,2,5
🤡💩☠️fora Bozzolóide,1,3,5
ATENÇÃO AOS BOZOLOIDE DE PLANTÃO 🤣🤣🤣🤣🤣. TIRANDO SARRO DA DILMA,1,3,5
Dilma Rousseff só fala merda 😂😂😂😎👉,1,3,-1
"A culpa é do Noé ! Colocou casal jumentos arca, ê está porra não para de reproduzir, saudemos a mandioca.🐴😂",1,1,-1
"Falei e falo sempre, já passou da hora de dar um pau nesses esquerdistas.",1,3,5
Bando de vagabundos... bandidos..... cretinos.....afff que ódio...,1,3,-1
Bando de covardes !! Sabem que o Brasil vai crescer com o acordo e arranjaram um meio de prejudicar o Brasil !!! Nojo !!!! 💩💩💩💩,1,2,-1
"Se for verdade, essa é a raça que deveria ser extinta do mundo.",1,1,-1
Só podia ser eles mesmo bando de gentalha e ainda falam q são patriotas cAnbada do 😈,1,3,-1
Bota tudo em uma jaula!!!!! Bando de louco!! Gente demente. 🙄,1,1,-1
Joice querida! esperava o que? desses aí?? todos pulhas!!!!,1,3,-1
Canalhas,1,2,-1
São demônios contra o país e a favor de seus bolsos!,1,1,-1
A mesma corja de sempre!!! Dá nojo!!,1,1,-1
Só lixo,1,1,-1
São uns pilantras de 💩💩,1,2,-1
Vindo desta corja era de se esperar,1,3,-1
Esses vermes sao dejeto de fossa canalhas corruptos vagabundos são o câncer do Brasil,1,3,-1
Corja de VAGABUNDOS,1,2,-1
Dificil é tirar o pt da mente dos esquerdopratas,1,2,5
O que deveríamos esperar dessas escórias???,1,1,-1
"Têm que haver uma maneira de combater esses miseráveis. Deus me perdoe, mas eles se acham que podem fazer o que querem.aff",1,3,-1
São calhordas mesmo.PQP.Fdps!🤬🤬🤷🏻‍♂️👉🏼👉🏼🇧🇷,1,2,-1
So lixo,1,1,-1
Traidores,1,3,-1
"São uns canalhas e não representam o Brasil , aliás eles nem deveriam ser considerados brasileiros. Querem entregar a Amazônia para outras nações, isto brasileiro de verdade jamais admitiria",1,2,-1
"O que mais tem é idiota na política PT e seus puxadinhos, são campeões na categoria.",1,2,5
Bando de imbecil!,1,3,-1
Acredito que esses comunistas malditos bandidos estão folgando demais!!!! Uma boa prenda para dar um jeito neles 💣👊🏻💣👊🏻,1,3,5
"Como pode isso , vermes do congresso , dirigir-se a congressistas de outro país em detrimento dos interesses do 🇧🇷 , deve ter lei contra isso , o Brasil virou casa de mãe Joana ?? Pior q eles são os 💩💩💩 que votaram neles😡",1,1,-1
Deveria ser extraditado pra Cuba ou Venezuela..,1,1,-1
Só picaretas!!,1,2,-1
São um bando de invejosos!,1,2,-1
"Essas pestes não valem nada, não são brasileiros 😡",1,3,-1
Nojo desses vermes.....,1,1,-1
Vergonha até o invasor boulus tá no meio,1,1,-1
É inacreditável!! Bando de vermes !!!!,1,1,-1
"Esses traíras, só pendurando pelas bolas e deixar lá, até encostar no chão....🤦‍♂️",1,3,-1
"Ué? Cadê o @kimkataguiri nessa? Ele foi lá babar o ovo do francês mais cedo, essa era a hora dele foder com o povo. Cadê o Kim aí?",1,2,-1
Só o lixo da politica!,1,3,-1
Canalhas !!!,1,2,-1
"Enquanto existir essa corja do STF e congresso, Bolsonaro não vonsegue governar.",1,1,-1
não e novidade . pessoal que nao vale nada . 💩💩💩💩,1,3,-1
"CANALHAS.,PETRALHAS.!",1,3,5
"Isso é repugnante, haja estômago para engolir esse tipo de gente mal amada que nojo...",1,2,-1
Os lixos de sempre.,1,1,-1
Só carniças! Normal.,1,3,-1
Isso eh esquerda. Eh o lixo do lixo. E ainda temos milhões de acéfalos que defendem e apoiam essa corja.,1,3,5
Bando de covardes miserável traidores da pátria,1,3,-1
Um absurdo!! Canalhas🤮🤮🤮,1,2,-1
Até que ponto chegaram estes doentes.,1,1,-1
"Esses lixos estão contra, sinal que é um excelente negócio pro nosso país. Avante Brasil.",1,3,-1
Cangalhas!!! São enviados do coisa ruim!,1,3,-1
"🤮cambada de canalhas, sempre estiveram contra o Brasil e o povo brasileiro 🤮",1,2,-1
Porcos porcos porcos. E sai do meu bolso o dinheiro pra esses políticos porcos. Que me desculpem os porquinhos.,1,1,-1
Oh escória!!,1,1,-1
O quw se esperar destes seres das trevas !,1,1,-1
Miséraveis,1,3,-1
"Intervenção militar no STF!!!!! Urgente!!! Presidente precisa caçar esses canalhas traidores da Pátria, não há outro jeito... Senão essas escórias não vão aprender que existe justiça de verdade e eles estão sujeitos à ela.",1,2,2
São uma cambadas de vagabundos,1,2,-1
Me da mais raiva de quem vota nessa corja e apoia esses traidores,1,3,-1
São os canalhas de SEMPRE,1,2,-1
👏calhordas!!!,1,2,-1
Todos um lixo !,1,1,-1
Que saudade do regime militar,1,1,2
Que vergonha....pra nao dizer bandidos mesmo é o que eles são.,1,2,-1
Hipocrisia!,1,3,-1
"Canalhas, comunistas desgracados!!!",1,2,5
VERGONHA,1,1,-1
"E muito lixo que se acha nesse país,",1,1,-1
Lixo esses petzadas mais não adianta o Brasil e nosso,1,2,5
Sem surpresa ... vinda dos ratos,1,1,-1
Isso já se espera desce vermes,1,1,-1
Safados marxistas,1,2,5
Espírito de porco. Quanto pior melhor para eles...,1,3,-1
São uns Malditos que só pensam no bolso deles e que os Pobres e os Discriminados pela sociedade cruel continuem nas mãos deles. Comunistas do Inferno! 😢😢😢,1,2,5
Todos vagabundo ladrão este Tau de Huberto e um pagã e pernabuco,1,2,-1
Trairas,1,2,-1
Traidores,1,2,-1
Denúncia essa cambada!!! Quadrilha!!!,1,3,-1
"Você chama estes lixos de parlamentares, estão mais pra ratos de esgoto que para parlamentares.",1,1,-1
Isso é um absurdo!!! Estes vagabundos tinham que ser EXPULSO S DO PAÍS!!!,1,2,-1
"Isso a Globo Lixo, não divulga!",1,2,-1
Esquerda maldita,1,2,5
"Bando de lixo, intocáveis até quando?",1,3,-1
São FDP bem grande,1,2,-1
Vermes do Brasil,1,1,-1
Vão queimar no inferno!,1,2,-1
Gente não tem como encher um avião com esses bando mandar para Venezuela !!!Jesus como pode torcer contra seu país será que são brasileiros 🤔,1,1,-1
Tem que mandar outra dizendo que esses vigaristas não nos representam.,1,3,-1
Bando de FDP.,1,2,-1
ESSES VERMES VERMELHOS SÓ FAZEM ISSO PELO BRASIL (MAL)NÃO AMAM A PÁTRIA,1,2,5
Desgracados ! Como alguém vota num bando desse?,1,3,-1
"😕😕😕PARTIDO COMUNISTA DO MAL, ESQUERDALHAS DEMENTES, ANTIPATRIOTAS DO CARAMBA, LIXOS",1,3,5
"Cambada de vagabundo, parasita, vao p venezuela jaguarada",1,3,-1
"Eles são repugnantes Sujos,imundos e nojentos traidores da pátria 🇧🇷",1,3,-1
"PTralhas do inferno, almadicoados sejam e queimem no inferno bandidos",1,3,5
"O único desejo do Pt facção criminosa é dinheiro é poder,o comunismo é devastador 😟 corrosivo, não faz sentido o comportamento desse pessoal de não aceitar que perderam o poder,bando de doentes egoístas avarentos",1,3,5
Esses são a escória do Brasil. Lixo 😢,1,3,-1
"Marginais, gente suja. Deveriam ser expulsos do país!",1,3,-1
Ainda. Tem ESTÚPIDOS que elegem LIXOS. PAÍS repleto de retardados PODRES ASSASSINOS do povo brasileiro,1,3,-1
Cambada de comunistas nojentos,1,1,5
Essa é a Quadrilha Satanica q está no Congresso Brasileiro. Pior foi quem votou nessa Gangue . Todos têm q perder seus Mandatos por Crime de Lesa Pátria!!!,1,3,-1
Só podiam ser esses pulhas malditos traidores imundos ladrões,1,3,-1
Vermes boçais malditos,1,2,-1
Traidores da pátria. Culpado do os imbecis que mandam essa gente pra Brasília 😱,1,3,-1
Cínicos bandidos,1,3,-1
"Um tem a cara do outro,dois vagabundos,que roubaram e afundaram este país. Dois caras de pau, ladrões...",1,3,-1
Vadia ridícula,1,3,8
Vermes parasita,1,3,-1
"A Visão do Inferno, a besta e a bestinha😂😂",1,3,-1
dois merdas,1,1,-1
A cara da besta!!!,1,1,-1
"Quero ver esse cabra nordestino, velho e Barbudo, tomando cachaça no acampamento e claro casado novamente!❤️",1,3,-1
Como se esse bosta solto fizesse diferencia 😒 a única diferença é que ele vai rouba o país ea única coisa que ele sabe fazer,1,3,-1
"Grande merdas! Imagina se todo mundo colocasse a metade de uma foto de um bandido pilantra junto a sua, que ridículo seria! Seus desocupados! #ptnuncamais #lulapilantra",1,3,5
"Minha duvida hj é se eu vendo avon, se dou palestras, se cato bosta de elefante ou se jogo na mega sena.... PTzada.... tropa de ladrao",1,3,5
"KKKKKK QUE NOJO MEI ASSASSINA MEIA CORRUPTA , MEIA NOJENTA , MEIA IMUNDA.",1,3,-1
QUANTO MAIS RIDICULA ESSA CRISI HOFFMANN PODE SER ! ELA MESMA SE SUPERA KKKKKK. O BICHA DOIDA.,1,2,-1
VC PODE CUMPRIR A METADE DA PENA DO BANDIDO BARBUDO!!,1,2,-1
Calhordas..,1,2,-1
Isso é ótimo o STFLIXO vão para cima os Juízes e promotores isso e muito bom!,1,2,-1
"Os petralhas colocaram sua corja em todos os lugares, não salva ninguém, que tristeza ..",1,2,5
"Intervenção militar no STF, já",1,2,2
O supremo não vai atender. O STF é o protetor de bandidos e das falcatruas.,1,2,-1
Os bandidos puxando brasa pra suas sardinhas,1,2,-1
"Isso caso intervecao militar mesmo, se o bolsonaro nao fechar o congresso e o supremo os militares vao e prender tambem.",1,1,2
Os supremos calhordas NÃO irão impor sua vontade. Não deixaremos! 😎🇧🇷,1,2,-1
Intervenção militar já !!! Acaba STF não serve pra nada mesmo...@joicehasselmannoficial,1,3,2
Grandr merda tudo por causa de acordoes com o presidente que nao vem e faka pra gente o que ta acontecendo e se vende para esses canalhas. Deveria ter vetado tudo e nao uma parte fa ao o que deu. Tô deceocionada com o que ta acontecendo. Cirrer atrás do leite derramado não adianta pq não vence hipocrisia desse sistema de mentiras. 😢,1,2,-1
"O Brasil comum, sem foro privilegiado, não acredita em Congresso Nacional e Judiciário, principalmente neste tal STF. São muito cara de pau.",1,2,-1
Cadê as forças armadas!!!!!Socorro!!!!!,1,1,2
"Esses Ministros abutres do STF, Se julgam acima de tudo e de todos.",1,3,-1
Mas o STF só faz a favor de marginais .infelizmente enquanto não fechar este chiqueiro o Brasil estará refém destes advogadinhos chamados de ministros,1,1,-1
MILITARES FECHA O SUPREMO! !!!!! MOURÃO! !!!!!,1,1,2
Param esses Abutres,1,1,-1
Pra frente Brasil 🇧🇷 contra os corruptos e bandidos de toga,1,3,-1
"ART. 142 já não aguento mais esses canalhas STF l, congresso e senado",1,3,2
"Minha querida, com esses corjas que temos no STF , no STJ, no STE e OUTROS tá dificil hein! Não dá pra entrar, matar um e suicidar,"" não resolve nada! Tem é que entrar com metralhadoras para exterminar a rataiada....",1,3,-1
O pau entrando no rabo dos juízes kkkkkkkk,1,2,-1
Esses bandidos do STF legislam o tempo todo!!!,1,2,-1
Problema que tem mais bandido do que gente honesta,1,3,-1
"Que tristeza de país, estou perdendo a esperança de um presente melhor e futuro digno e feliz para meus filhos e netos!Esquecem que o caixão não tem gavetas,canalhas do congresso e STF",1,2,-1
"Kkkk... Piada né? A atitude é legal, MAS o congresso criou essa lei pra se proteger e roubarem em paz e por sua vez vem o STF que protege corruptos e criminal de colarinho branco.",1,2,-1
Chega de favorecer esses bandidos.,1,2,-1
"vamos acabar com este STF , senado , vamos povo tá na hora de mostrar a força , vamos exército nos ajudem",1,1,2
"Com um congresso frouxo, o STF continuará reinando. É muito rabo preso entre todos aí. Dos antigos congressistas, já esperávamos os conchavos. Dos novos, só decepções até o presente momento.",1,2,-1
Ta faltando um cabo e um soldado pra fecharem essa merda logo 🇧🇷😠,1,1,2
"O STF, com raras exceções de ministros, transformou-se em escritório de advocacia para bandidos!!! 🙌🙏🙌",1,2,-1
O LIXO do Brasil= STF,1,3,-1
Artigo 142 nestes ratos corruptos STF bandidos safados vagabundos canalhas abutres crápulas do STF derrubar está corte criminosa do Brasil,1,2,2
@joicehasselmannoficial porque as forcas armada nao interven no STF urgente.,1,1,2
As forças armadas podem nos salvar destes miseráveis do STF,1,2,2
Tem que fechar esse congresso de bandidos,1,3,-1
Vamos derrotar os demônios malditos 🇧🇷👏🇧🇷👏🇧🇷👏,1,3,-1
"Isso e inaceitável uma desgraça dessa nem lúcifer aceita vão te lascar infelizes amaldiçoados !Fora esse STF isso e o satanás tirem pelo amor de Deus , e uma tortura brasileira acabem com essa infâmia nacional acabem com eles !",1,2,-1
Absurdo VERGONHA!!!,1,1,-1
Corja de VAGABUNDOS.,1,2,-1
Bandidos lutam contra a nação!!!,1,1,-1
Párias apátridas 😡😡😡,1,1,-1
Vindo desta corja era de se esperar ...,1,1,-1
É complicado o desmame dessa turma da esquerda. Se acostumaram com a grana fácil desviada dos cofres públicos e agora esperneiam com a seca total.,1,3,5
É uma absurdo né? Não sei o que fazem aqui... deviam estar em Cuba ou Venezuela....,1,2,-1
São uns malditos vagabundos criminosos! Pena de morte pra todos!!!,1,3,-1
LEI DE SEGURANÇA NACIONAL NESSES TRAIDORES DA NAÇÃO!!!,1,1,-1
"absurdo, porra aqui não e casa de veraneio. esses parlamentares tem que ser afastados, que palhaçada",1,1,-1
"Só tem lixo! Narizinho, marido do Verdevaldo, etc...🤢🤮🤮🤮",1,1,-1
"Ficaria surpresa se esse Lixo ficassem a favor do país,",1,3,-1
Esses não são gente. Esses são escória de nossa política.,1,3,-1
Só gente débil vota numas carniça dessas,1,2,-1
"Isso é crime contra a nação, e tem fdp que ainda vota nesses canalhas.",1,1,-1
"Estão arroxados, a TETA secou🤣🤣🤣🤣🤣🤣🤣onde está Paulo Pimentel , Gleice Hoffman e essezinho aí, pode esperar... DESESPERO DE CAUSA. Estão oprimidos tadinhos.Deixe eis",1,1,-1
Misericórdia!!! Inacreditável!!! Esse povo é doente! Só pode!,1,3,-1
"O grande problema é que os fracassados, jamais torcerá para que outras pessoas tenham sucesso. No caso aqui... ESSA TURMA DO PT. Eles nunca mudaram e jamais mudarão.... Sempre prestarão um DESFAVOR AO BRASIL. Gostaria apenas de lembrar aos meus compatriotas que o nosso verdadeiro inimigo NÃO ESTÁ NA FORA... TÁ AQUI DISFARÇADO",1,1,5
"O ódio da esquerda é maior que o seu amor pelo Brasil, vale até quebrar o país se isso prejudicar o Bolsonaro, não importa se o brasileiro se FODE junto, importante é que atrapalharam o Bolsonaro!!",1,2,5
"Os eleitores dessa corja deveriam se envergonhar pois torcem contra o próprio país estamos no mesmo barco mas a esquerda é ignorante demais para verem isso, por favor nas próximas eleições não reeleja quem não quer o crescimento do próprio país!!!! 🇧🇷🙌",1,2,5
Bandidos,1,2,-1
Que vergonha....pra nao dizer bandidos mesmo é o que eles são.,1,3,-1
Hipocrisia!,1,3,-1
Queremos saber os nomes desses parlamentares bandidos corruptos que lutam contra pais,1,2,-1
"Meu cachorro cagando, trabalha muito mais pelo Brasil do que estes esquerdistas parasitas!",1,3,5
Essa esquerda não tem o que fazer,1,2,5
Cambada de fdp - o bolsonaro tem que fazer uma matéria mostrando estes 💩,1,1,-1
6 amebas!,1,1,-1
"Só os PTRALHAS, lixo do Brasil",1,3,5
Deveriam ser presos esses pretalhas!!,1,3,5
"Esses infelizes , são IGNORANTES , DOENTES MENTAIS , CORRUPTOS OU BABACA MESMO !",1,2,-1
"Bando de desgraçados, que só querem que o Brasil seja uma Venezuela. Será que não tem alguma forma de banir estes fdp.",1,1,-1
Esses petistas são sujos!,1,3,5
São uns idiotas bandidos . Deviam ser cassados . Ou estão com o Brasil e então fora com eles,1,3,-1
BANDO SE TRAIRAS !!! CANALHAS !!,1,3,-1
Fdp,1,2,-1
Cambada de fdps😢😢😢😢,1,3,-1
Vão para o inferno!👿,1,3,-1
"Só merda,não serve nem para engraxar botina presidente!!!",1,2,-1
Que corja asqueirosa.,1,2,-1
Cambada de lixo humano...só se servem...não nos servem,1,2,-1
"Cretinos, falam em democracia, mas usam dos meios mais sórdido pra derrubar um governo eleito democraticamente, sem se importar com as consequências para o povo brasileiro.",1,3,-1
"Moram no Brasil, mas não têm alma de brasileiro. Limpam a consciência com papel higiênico...",1,2,-1
"em que fazer um belo pacotão, juntar esses parlamentares malditos, juntamente com seus eleitores, e mandar todos pra Cuba que lhes pariu....",1,3,-1
Cambada de vagabundos.,1,3,-1
"Joice, mete um desagravo na Câmara contra esses fdp",1,3,-1
Este povo do PT são uns FDP..,1,2,5
Grandes Filhodeputas!,1,1,-1
Sao todos um lixo. Vergonha.,1,2,-1
Corja de bandidos!,1,2,-1
Agora!!!!,0,0,0
Se elegeu as nossas custas,0,0,0
De onde você tirou esta informações eu procurei em todas redes social e não encontrei nada poderia informar suas fontes como link da matéria ou página do processo,0,0,0
Em Carla nepotismo cruzado e crime https://www.tercalivre.com.br/nabhan-garcia-e-carla-zambelli-violam-constituicao-com-nepotismo-cruzado/,0,0,0
