comentario,label final,normalized_text,rationales_offensive_1_normalized,rationales_offensive_2_normalized,rationales_offensive_1,links_post,rationales_offensive_2
Essa é outra mulher lixo,1.0,essa é outra mulher lixo,['outra mulher lixo'],['essa é outra mulher lixo'],outra mulher lixo,https://www.instagram.com/tv/B5EDfDPhjyf/,Essa é outra mulher lixo; 
"Canalhice, RACISMO NUNCA MAIS.",1.0,canalhice racismo nunca mais,['canalhice'],['canalhice'],Canalhice,https://www.instagram.com/tv/B5EDfDPhjyf/,Canalhice; 
🤢🤢🤢 Vala seu merda!!,1.0,vala seu merda,['vala seu merda'],['vala seu merda'],Vala seu merda,https://www.instagram.com/tv/B5EDfDPhjyf/,Vala seu merda; 
"Só podia ser de um policial um absurdo desses, o cara quer aparecer de qualquer jeito.",1.0,só podia ser de um policial um absurdo desses o cara quer aparecer de qualquer jeito,"['só podia ser de um policial', 'o cara quer aparecer de qualquer jeito']",['o cara quer aparecer de qualquer jeito'],Só podia ser de um policial; o cara quer aparecer de qualquer jeito,https://www.instagram.com/tv/B5EDfDPhjyf/,o cara quer aparecer de qualquer jeito; 
So negros morrem no Brasil? Bandido nao escolhe cor!,1.0,so negros morrem no brasil bandido não escolhe cor,['so negros morrem no brasil bandido não escolhe cor'],['so negros morrem no brasil bandido não escolhe cor'],So negros morrem no Brasil? Bandido nao escolhe cor,https://www.instagram.com/tv/B5EDfDPhjyf/,So negros morrem no Brasil? Bandido nao escolhe cor; 
"Esse deputado racista é um verme, verme este que, quando amassado com os pés ele fede. Tu, deputado, é tão pequeno, que se alguém cuspir no chão perto de você é bem capaz de mata-lo afogado.",1.0,esse deputado racista é um verme verme este que quando amassado com os pés ele fede tu deputado é tão pequeno que se alguém cuspir no chão perto de você é bem capaz de matalo afogado,"['racista', 'é um verme', 'verme este que quando amassado com os pés ele fede', 'tão pequeno que se alguém cuspir no chão perto de você é bem capaz de matalo afogado']","['verme', 'quando amassado com os pés ele fede', 'é tão pequeno que se alguém cuspir no chão perto de você é bem capaz de matalo afogado']","racista; é um verme; verme este que, quando amassado com os pés ele fede; tão pequeno, que se alguém cuspir no chão perto de você é bem capaz de mata-lo afogado",https://www.instagram.com/tv/B5EDfDPhjyf/,"verme; quando amassado com os pés ele fede; é tão pequeno, que se alguém cuspir no chão perto de você é bem capaz de mata-lo afogado;"
"Esses fascitas passam dos limites, eles terão que ser penalizados pelos atos insanos",1.0,esses fascistas passam dos limites eles terão que ser penalizados pelos atos insanos,"['esses fascistas passam dos limites', 'atos insanos']",['fascistas'],Esses fascitas passam dos limites; atos insanos,https://www.instagram.com/tv/B5EDfDPhjyf/,fascitas; 
"O respeito não faz parte desse partido, o PSL! Vergonha! Uma celebração terminar com desrespeito! Isso não pode! Punição presidente Rodrigo Maia!",1.0,o respeito não faz parte desse partido o coligação vergonha uma celebração terminar com desrespeito isso não pode punição presidente rodrigo maia,"['o respeito não faz parte desse partido', 'vergonha', 'punição presidente rodrigo maia']","['vergonha', 'o respeito não faz parte desse partido']",O respeito não faz parte desse partido; Vergonha; Punição presidente Rodrigo Maia,https://www.instagram.com/tv/B5EDfDPhjyf/,Vergonha; O respeito não faz parte desse partido; 
"A imagem usada é o que, cambada de FDP. Vocês são os verdadeiros preconceituosos... usaram um negro vestido da bandeira do Brasil baleado e caído e um policial branco com arma na mão insinuando o que??? Cafajestes!!! Pilantras!!!",1.0,a imagem usada é o que cambada de filho da puta vocês são os verdadeiros preconceituosos usaram um negro vestido da bandeira do brasil baleado e caído e um policial branco com arma na mão insinuando o que cafajestes pilantras,"['cambada de filho da puta', 'vocês são os verdadeiros preconceituosos', 'usaram um negro vestido da bandeira do brasil baleado e caído e um policial branco com arma na mão insinuando o que cafajestes', 'pilantras']","['preconceituosos', 'cambada de filho da puta', 'cafajestes', 'pilantras']",cambada de FDP; Vocês são os verdadeiros preconceituosos; usaram um negro vestido da bandeira do Brasil baleado e caído e um policial branco com arma na mão insinuando o que??? Cafajestes; Pilantras,https://www.instagram.com/tv/B5EDfDPhjyf/,preconceituosos; cambada de FDP; Cafajestes; Pilantras; 
"Triste isso....força e acabem com esse racista por falta de decoro, por violência e racismo declarado",1.0,triste isso força e acabem com esse racista por falta de decoro por violência e racismo declarado,['acabem com esse racista por falta de decoro por violência e racismo declarado'],"['falta de decoro', 'racismo declarado']","acabem com esse racista por falta de decoro, por violência e racismo declarado",https://www.instagram.com/tv/B5EDfDPhjyf/,falta de decoro; racismo declarado; 
Esse milico de merda tem.que ser preso,1.0,esse milico de merda tem que ser preso,"['esse milico de merda tem', 'que ser preso']",['milico de merda'],Esse milico de merda tem.que ser preso,https://www.instagram.com/tv/B5EDfDPhjyf/,milico de merda; 
Ja da formação de quadrilha nessa foto,1.0,já da formação de quadrilha nessa foto,['já da formação de quadrilha nessa foto'],['já da formação de quadrilha nessa foto'],Ja da formação de quadrilha nessa foto,https://www.instagram.com/p/C5ep78XPyzw/,Ja da formação de quadrilha nessa foto; 
Vagabundo do PSL partido do Laranjal,1.0,vagabundo do coligação partido do laranjal,['vagabundo do coligação partido do laranja'],['partido do laranjal'],Vagabundo do PSL partido do Laranja,https://www.instagram.com/tv/B5EDfDPhjyf/,partido do Laranjal;
"Maldito MILICO mal caráter, esse DEPUTADOS canalha não tem estrutura nem pra lixeiro da assembleia legislativa, ele deveria estar em um manicômio judiciário.",1.0,maldito milico mal caráter esse deputados canalha não tem estrutura nem pra lixeiro da assembléia legislativa ele deveria estar em um manicômio judiciário,"['maldito', 'milico', 'mal caráter', 'canalha', 'não tem estrutura nem pra lixeiro da assembléia legislativa', 'deveria estar em um manicômio judiciário']","['maldito', 'mal caráter', 'canalha', 'manicômio judiciário']",Maldito; MILICO; mal caráter; canalha; não tem estrutura nem pra lixeiro da assembleia legislativa; deveria estar em um manicômio judiciário,https://www.instagram.com/tv/B5EDfDPhjyf/,Maldito; mal caráter; canalha; manicômio judiciário.
"Repugnante, absurdo o que esse deputado fez, tem que olhar pra trás e vê como foi fácil a chegada dele aonde encontra_se hoje, mas não é a mesma oportunidade oferecida ao negro, educação, saúde, um lar, um, um bom emprego, se eles nunca tiveram irão ficar sempre atrás, consciência de o negro tem que ser tratado por igual, com as mesmas garantias e direitos.",1.0,repugnante absurdo o que esse deputado fez tem que olhar pra trás e vê como foi fácil a chegada dele aonde encontra se hoje mas não é a mesma oportunidade oferecida ao negro educação saúde um lar um um bom emprego se eles nunca tiveram irão ficar sempre atrás consciência de o negro tem que ser tratado por igual com as mesmas garantias e direitos,"['repugnante', 'absurdo o que esse deputado fez']","['repugnante', 'absurdo']",Repugnante; absurdo o que esse deputado fez,https://www.instagram.com/tv/B5EDfDPhjyf/,Repugnante; absurdo; 
Tadeu do PSL. (Partido Só de Laranjas.) Atitude repudiante. Tá louco meu!!! É hora de impor limites a esses fascistas de MERDA.🤢,1.0,tadeu do coligação partido só de laranjas atitude repudiame está louco meu é hora de impor limites a esses fascistas de merda,"['partido só de laranjas', 'atitude repudiame', 'está louco meu', 'é hora de impor limites a esses fascistas de merda']","['partido só de laranjas', 'atitude repudiame', 'está louco meu', 'fascistas de merda']",Partido Só de Laranjas; Atitude repudiante; Tá louco meu; É hora de impor limites a esses fascistas de MERDA,https://www.instagram.com/tv/B5EDfDPhjyf/,Partido Só de Laranjas; Atitude repudiante; Tá louco meu; fascistas de MERDA;
O que que esse paria social ganhou destruindo a placa. Que grupos estão por trás disso?,1.0,o que que esse paria social ganhou destruindo a placa que grupos estão por trás disso,['paria social'],['paria social'],paria social,https://www.instagram.com/tv/B5EDfDPhjyf/,paria social;
Essa Petralha devia ir pra cadeia .,1.0,essa petista devia ir pra cadeia,['essa petista devia ir pra cadeia'],['petista'],Essa Petralha devia ir pra cadeia,https://www.instagram.com/tv/B5EDfDPhjyf/,Petralha;
Fogo nos racistas,1.0,fogo nos racistas,['fogo nos racistas'],['fogo nos racistas'],Fogo nos racistas,https://www.instagram.com/tv/B5EDfDPhjyf/,Fogo nos racistas; 
Esquerda parasita lixo,1.0,esquerda parasita lixo,"['esquerda parasita', 'lixo']","['esquerda parasita', 'lixo']",Esquerda parasita; lixo,https://www.instagram.com/tv/B5EDfDPhjyf/,Esquerda parasita; lixo; 
"Eu sou negro e só vejo racismo de sua boca podre sua Negra, agora me diga que eu sou racista.",1.0,eu sou negro e só vejo racismo de sua boca podre sua negra agora me diga que eu sou racista,['só vejo racismo de sua boca podre sua negra'],['boca podre'],só vejo racismo de sua boca podre sua Negra,https://www.instagram.com/tv/B5EDfDPhjyf/,boca podre;
"Só mi 🇧🇷🇧🇷mim mi vão trabalhar para o povo, pra isso qe vcs foram eleitas 🇧🇷",1.0,só mi 🇷mim mi vão trabalhar para o povo pra isso que vocês foram eleitas,"['só mi mim mi', 'vão trabalhar', 'pra isso que vocês foram eleitas']",['só mi 🇷mim mi'],Só mi mim mi; vão trabalhar; pra isso qe vcs foram eleitas,https://www.instagram.com/tv/B5EDfDPhjyf/,Só mi 🇧🇷🇧🇷mim mi; 
Esse miliciano precisa pagar pelo que fez.,1.0,esse miliciano precisa pagar pelo que fez,['esse miliciano precisa pagar pelo que fez'],['miliciano'],Esse miliciano precisa pagar pelo que fez,https://www.instagram.com/tv/B5EDfDPhjyf/,miliciano;
Vai dormir Benedita!!,1.0,vai dormir benedita,['vai dormir'],['vai dormir benedita'],Vai dormir,https://www.instagram.com/tv/B5EDfDPhjyf/,Vai dormir Benedita!!; 
Mulher chata insuportável,1.0,mulher chata insuportável,['mulher chata insuportável'],"['chata', 'insuportável']",Mulher chata insuportável,https://www.instagram.com/tv/B5EDfDPhjyf/,chata; insuportável;
"👏👏👏chega de tanto lixo destes fascistas ,racistas de merda, traidores da Pátria , golpistas🤮🤮🤮chega...",1.0,chega de tanto lixo destes fascistas racistas de merda traidores da pátria golpistas chega,"['chega de tanto lixo', 'fascistas', 'racistas', 'de merda', 'traidores da pátria', 'golpistas']","['chega de tanto lixo', 'racistas de merda', 'destes fascistas', 'golpistas', 'traidores da pátria']",chega de tanto lixo; fascistas; racistas; de merda; traidores da Pátria; golpistas,https://www.instagram.com/tv/B5EDfDPhjyf/,chega de tanto lixo; racistas de merda; destes fascistas; golpistas; traidores da Pátria; 
Fora Governo De Milicianos,1.0,fora governo de milicianos,['fora governo de milicianos'],['fora governo de milicianos'],Fora Governo De Milicianos,https://www.instagram.com/tv/B5EDfDPhjyf/,Fora Governo De Milicianos; 
Tem que pagar aumento pros capangas públicos rouba a gente,1.0,tem que pagar aumento pros capangas públicos rouba a gente,['tem que pagar aumento pros capangas públicos rouba a gente'],['capangas públicos'],Tem que pagar aumento pros capangas públicos rouba a gente,https://www.instagram.com/p/C1Wwy_YuxZ5/,capangas públicos;
Atitude intolerável! Cadeia para esse deputado estúpido e imbecil! #forapsllixo,1.0,atitude intolerável cadeia para esse deputado estúpido e imbecil forapsllixo,"['cadeia para esse deputado estúpido e imbecil', 'forapsllixo']","['estúpido', 'imbecil']",Cadeia para esse deputado estúpido e imbecil; #forapsllixo,https://www.instagram.com/tv/B5EDfDPhjyf/,estúpido; imbecil; 
Pior é que tem negros que votam nessa gente! O Brasil precisa acordar!!!,1.0,pior é que tem negros que votam nessa gente o brasil precisa acordar,"['pior é que tem negros que votam nessa gente', 'o brasil precisa acordar']",['votam nessa gente'],Pior é que tem negros que votam nessa gente; O Brasil precisa acordar,https://www.instagram.com/tv/B5EDfDPhjyf/,votam nessa gente; 
"Bandido bom e bandido morto! Independente da cor! Você ainda vai ser vítima deles, aí quero ver manter a opinião. E outra, vocês são todos corruptos, logo chegará sua hora",1.0,bandido bom e bandido morto independente da cor você ainda vai ser vítima deles aí quero ver manter a opinião e outra vocês são todos corruptos logo chegará sua hora,"['bandido bom e bandido morto', 'você ainda vai ser vítima deles aí quero ver manter a opinião', 'vocês são todos corruptos logo chegará sua hora']","['bandido bom e bandido morto', 'corruptos']","Bandido bom e bandido morto; Você ainda vai ser vítima deles, aí quero ver manter a opinião; vocês são todos corruptos, logo chegará sua hora",https://www.instagram.com/tv/B5EDfDPhjyf/,Bandido bom e bandido morto; corruptos; 
"Tanto branco com alma negra. Todos deveríamos ser igual perante Deus , não é a cor da pele que nos faz diferentes e sim a cor da alma!!!! Ah essa Deus conhece bem!",1.0,tanto branco com alma negra todos deveríamos ser igual perante deus não é a cor da pele que nos faz diferentes e sim a cor da alma ah essa deus conhece bem,['tanto branco com alma negra'],['tanto branco com alma negra'],Tanto branco com alma negra,https://www.instagram.com/tv/B5EDfDPhjyf/,Tanto branco com alma negra; 
"Cadeia nele, será que vão ter punição?",1.0,cadeia nele será que vão ter punição,['cadeia nele'],['cadeia nele'],Cadeia nele,https://www.instagram.com/tv/B5EDfDPhjyf/,Cadeia nele; 
É um verme racista,1.0,é um verme racista,"['é um verme', 'racista']","['é um verme', 'racista']",É um verme; racista,https://www.instagram.com/tv/B5EDfDPhjyf/,É um verme; racista; 
Ele fez certo...políciais não racistas!comunistas canalhas!,1.0,ele fez certo policiais não racistas comunistas canalhas,"['comunistas', 'canalhas']","['canalhas', 'comunistas']",comunistas; canalhas,https://www.instagram.com/tv/B5EDfDPhjyf/,canalhas; comunistas; 
Coronel Tadeu??? Para mim é um bosta!!!!,1.0,coronel tadeu para mim é um bosta,['para mim é um bosta'],['para mim é um bosta'],Para mim é um bosta,https://www.instagram.com/tv/B5EDfDPhjyf/,Para mim é um bosta; 
Racismo é crime inafiançável. Tem que tirar o mandato desse canalha.,1.0,racismo é crime inafiançável tem que tirar o mandato desse canalha,"['tem que tirar o mandato', 'canalha']",['desse canalha'],Tem que tirar o mandato; canalha,https://www.instagram.com/tv/B5EDfDPhjyf/,desse canalha; 
Essa é a face do brasileiro bolsonarista é racista e no gosta de dividir nada com ninguém. .onde anda a Igualdade? ??,1.0,essa é a face do brasileiro rastreava é racista e no gosta de dividir nada com ninguém onde anda a igualdade,"['rastreava é racista', 'no gosta de dividir nada com ninguém', 'onde anda a igualdade']","['rastreava é racista', 'no gosta de dividir nada com ninguém']",bolsonarista é racista; no gosta de dividir nada com ninguém; onde anda a Igualdade?,https://www.instagram.com/tv/B5EDfDPhjyf/,bolsonarista é racista; no gosta de dividir nada com ninguém; 
"Ele não tem cacife para ser um representante do Povo,ele não tem capacidade intelectual de exercer cargos públicos. #ForaDeputadoTadeu",1.0,ele não tem cacife para ser um representante do povo ele não tem capacidade intelectual de exercer cargos públicos foradeputadotadeu,"['ele não tem cacife', 'ele não tem capacidade intelectual', 'foradeputadotadeu']","['não tem cacife', 'não tem capacidade intelectual']",Ele não tem cacife; ele não tem capacidade intelectual; #ForaDeputadoTadeu,https://www.instagram.com/tv/B5EDfDPhjyf/,não tem cacife; não tem capacidade intelectual; 
Tomem providências tbm contra a roubalheira que cometeram contra a nação brasileira durante 4 mandatos presidenciais,1.0,tomem providências também contra a roubalheira que cometeram contra a nação brasileira durante 4 mandatos presidenciais,['contra a roubalheira'],['contra a roubalheira'],contra a roubalheira,https://www.instagram.com/tv/B5EDfDPhjyf/,contra a roubalheira; 
O Bolsonaro libertou os demônios que estavam escondidos.,1.0,o bolsonaro libertou os demônios que estavam escondidos,['libertou os demônios que estavam escondidos'],['o bolsonaro libertou os demônios que estavam escondidos'],libertou os demônios que estavam escondidos,https://www.instagram.com/tv/B5EDfDPhjyf/,O Bolsonaro libertou os demônios que estavam escondidos; 
O Brasil que você não é o Brasil de 1800 sua analfabeta.,1.0,o brasil que você não é o brasil de 1800 sua analfabeta,['não é o brasil de 1800 sua analfabeta'],"['o brasil que você não é o brasil de 1800', 'sua analfabeta']",não é o Brasil de 1800 sua analfabeta,https://www.instagram.com/tv/B5EDfDPhjyf/,O Brasil que você não é o Brasil de 1800; sua analfabeta; 
PT nunca mais,1.0,parte nunca mais,['parte nunca mais'],['parte nunca mais'],PT nunca mais,https://www.instagram.com/tv/B5EDfDPhjyf/,PT nunca mais; 
PT quadrilha unida,1.0,parte quadrilha unida,['parte quadrilha unida'],['parte quadrilha unida'],PT quadrilha unida,https://www.instagram.com/tv/B5EDfDPhjyf/,PT quadrilha unida; 
Um vagabundo daquele.,1.0,um vagabundo daquele,['vagabundo'],['vagabundo'],vagabundo,https://www.instagram.com/tv/B5EDfDPhjyf/,vagabundo; 
Cadeia neles,1.0,cadeia neles,['cadeia neles'],['cadeia neles'],Cadeia neles,https://www.instagram.com/tv/B5EDfDPhjyf/,Cadeia neles; 
Que mulher ridícula essa Benedita só fala bosta,1.0,que mulher ridícula essa benedita só fala bosta,"['ridícula', 'só fala bosta']","['só fala bosta', 'ridícula']",ridícula; só fala bosta,https://www.instagram.com/tv/B5EDfDPhjyf/,só fala bosta; ridícula; 
Vai trabalhar sua nojenta,1.0,vai trabalhar sua nojenta,"['vai trabalhar', 'sua nojenta']","['vai trabalhar', 'sua nojenta']",Vai trabalhar; sua nojenta,https://www.instagram.com/tv/B5EDfDPhjyf/,Vai trabalhar; sua nojenta; 
"No local do policial poderia ter colocado a imagem de um político corrupto , tenho certeza que mata muito mais os pobres independente da cor!",1.0,no local do policial poderia ter colocado a imagem de um político corrupto tenho certeza que mata muito mais os pobres independente da cor,"['político corrupto', 'certeza que mata muito mais os pobres independente da cor']",['político corrupto'],político corrupto; certeza que mata muito mais os pobres independente da cor,https://www.instagram.com/tv/B5EDfDPhjyf/,político corrupto; 
"Que esse coronelzinho seja responsabilizado e devidamente penalizado. Criatura desprezível, coronel de 💩.",1.0,que esse coronelismo seja responsabilizado e devidamente penalizado criatura desprezível coronel de,"['coronelismo seja responsabilizado e devidamente penalizado', 'criatura desprezível coronel de']","['coronel de merda', 'coronelismo', 'criatura desprezível']","coronelzinho seja responsabilizado e devidamente penalizado; Criatura desprezível, coronel de 💩",https://www.instagram.com/tv/B5EDfDPhjyf/,coronel de merda; coronelzinho; criatura desprezível;
Estamos com você companheira Benedita. Abaixo esse governo miliciano farcista.,1.0,estamos com você companheira benedita abaixo esse governo miliciano farrista,['abaixo esse governo miliciano farrista'],"['governo miliciano', 'farrista']",Abaixo esse governo miliciano farcista,https://www.instagram.com/tv/B5EDfDPhjyf/,governo miliciano; farcista; 
"Esse coronel de merda está pensando que e quem, vagabundo ordinário 💩💩💩💩",1.0,esse coronel de merda está pensando que e quem vagabundo ordinário,['esse coronel de merda está pensando que e quem vagabundo ordinário'],"['coronel de merda', 'vagabundo ordinário']","Esse coronel de merda está pensando que e quem, vagabundo ordinário ",https://www.instagram.com/tv/B5EDfDPhjyf/,coronel de merda; vagabundo ordinário; 
Que cara safado fazer uma coisa dessas sendo que o povo brasileiro é mistura de todas as raças,1.0,que cara safado fazer uma coisa dessas sendo que o povo brasileiro é mistura de todas as raças,['cara safado'],['cara safado'],cara safado,https://www.instagram.com/tv/B5EDfDPhjyf/,cara safado; 
"Mas, os mesmos, ainda votaram nesses crápulas!",1.0,mas os mesmos ainda votaram nesses crápulas,['ainda votaram nesses crápulas'],['crápulas'],ainda votaram nesses crápulas,https://www.instagram.com/tv/B5EDfDPhjyf/,crápulas; 
Tinha que quebrar o quadro era na cara de quem pintou...bando de hipócritas quando tomam um susto corre para procurar a polícia !!!,1.0,tinha que quebrar o quadro era na cara de quem pintou bando de hipócritas quando tomam um susto corre para procurar a polícia,"['tinha que quebrar o quadro era na cara de quem pintou', 'bando de hipócritas']",['bando de hipócritas'],Tinha que quebrar o quadro era na cara de quem pintou; bando de hipócritas,https://www.instagram.com/tv/B5EDfDPhjyf/,bando de hipócritas; 
Bando de vagabundo!,1.0,bando de vagabundo,['bando de vagabundo'],['bando de vagabundo'],Bando de vagabundo,https://www.instagram.com/tv/B5EDfDPhjyf/,Bando de vagabundo!;
Covarde ... Corone FDP,1.0,covarde coronel filho da puta,"['covarde', 'coronel filho da puta']","['covarde', 'coronel filho da puta']",Covarde; Corone FDP,https://www.instagram.com/tv/B5EDfDPhjyf/,Covarde; Corone FDP; 
Boa noite que Os Deputados FEDERAls das Esquerdas Tomem Uma providência sobre esse descarado Deputado federal escroto racista esse laranja estragada 👺💩💩💩💩 do PsL esse já aprontou Muito sem nem Uma punição ele é Deputado federal pago p povo Brasileiro ele não está aí só Para defender os militares estão para fazer ó seu trabalho que está Fazendo porca mente Ele É louro de olhos azuis fora idiota nem que tivesse nascido na Suiça Ele não tem direito de ser Preconceituoso com Nimquém Ele já passou de todos os limites fora esse coronel Facista Chantagista é racista,1.0,boa noite que os deputados federais das esquerdas tomem uma providência sobre esse descarado deputado federal escroto racista esse laranja estragada do coligação esse já aprontou muito sem nem uma punição ele é deputado federal pago para povo brasileiro ele não está aí só para defender os militares estão para fazer ó seu trabalho que está fazendo porca mente ele é louro de olhos azuis fora idiota nem que tivesse nascido na suíça ele não tem direito de ser preconceituoso com disquem ele já passou de todos os limites fora esse coronel fascista chantagista é racista,"['descarado', 'escroto', 'racista', 'laranja estragada', 'já aprontou muito', 'porca', 'mente', 'fora', 'idiota', 'preconceituoso', 'passou de todos os limites', 'fascista', 'chantagista', 'racista']","['laranja estragada', 'merda do coligação', 'coronel fascista', 'chantagista', 'racista']",descarado; escroto; racista; laranja estragada; já aprontou Muito; porca; mente; fora; idiota; Preconceituoso; passou de todos os limites; Facista; Chantagista; racista,https://www.instagram.com/tv/B5EDfDPhjyf/,laranja estragada; merda do PsL;  coronel Facista; chantagista; racista;
Que horror canalhas😢😢,1.0,que horror canalhas,"['que horror', 'canalhas']","['que horror', 'canalhas']",Que horror; canalhas,https://www.instagram.com/tv/B5EDfDPhjyf/,Que horror; canalhas; 
Canalhas e preconceituosos,1.0,canalhas e preconceituosos,"['canalhas', 'preconceituosos']","['canalhas', 'preconceituosos']",Canalhas; preconceituosos,https://www.instagram.com/tv/B5EDfDPhjyf/,Canalhas; preconceituosos; 
Ta Tá de mais essa situação nesse país com esses milicianos,1.0,está está de mais essa situação nesse país com esses milicianos,['situação nesse país com esses milicianos'],['esses milicianos'],situação nesse país com esses milicianos,https://www.instagram.com/tv/B5EDfDPhjyf/,esses milicianos;
Revoltante o q este ser fez.,1.0,revoltante o que este ser fez,['revoltante o que este ser fez'],['revoltante o que este ser fez'],Revoltante o q este ser fez,https://www.instagram.com/tv/B5EDfDPhjyf/,Revoltante o q este ser fez; 
Covardes.... assassinos....milicianos!!!😠😠😠😠,1.0,covardes assassinos milicianos,"['covardes', 'assassinos', 'milicianos']","['covardes', 'assassinos', 'milicianos']",Covardes; assassinos; milicianos,https://www.instagram.com/tv/B5EDfDPhjyf/,Covardes; assassinos; milicianos; 
Samos todos írmao não gosto di👏💕💟💟💟💟💟💟💟💟💟💟 racista são pessoas sem caráter quê não respeita u próximo não tem diferença do neguinho pra u branquinho,1.0,somos todos irmão não gosto di racista são pessoas sem caráter quê não respeita cu próximo não tem diferença do neguinho pra cu branquinho,"['racista são pessoas sem caráter', 'não respeita cu próximo']","['pessoas sem caráter', 'não respeita cu próximo']",racista são pessoas sem caráter; não respeita u próximo,https://www.instagram.com/tv/B5EDfDPhjyf/,pessoas sem caráter; não respeita u próximo; 
"PSL , partido de bandido.",1.0,coligação partido de bandido,['partido de bandido'],['partido de bandido'],partido de bandido,https://www.instagram.com/tv/B5EDfDPhjyf/,partido de bandido; 
"Que vergonha meu DEUS. A p, a falta de respeito vem de grande parte de péssimos que se dizem representantes do povo. Onde chegaremos, 🙏",1.0,que vergonha meu deus a para a falta de respeito vem de grande parte de péssimos que se dizem representantes do povo onde chegaremos,"['que vergonha', 'a falta de respeito', 'péssimos que se dizem representantes do povo']",['péssimos que se dizem representantes do povo'],Que vergonha; a falta de respeito; péssimos que se dizem representantes do povo,https://www.instagram.com/tv/B5EDfDPhjyf/,péssimos que se dizem representantes do povo; 
"Cadeia , racismo é crime! Facistas!",1.0,cadeia racismo é crime racistas,"['cadeia', 'racismo é crime', 'racistas']",['racistas'],Cadeia; racismo é crime; Facistas,https://www.instagram.com/tv/B5EDfDPhjyf/,Facistas; 
"Essa atitude é vergonhosa, tem q ser punido,esse vândalo!",1.0,essa atitude é vergonhosa tem que ser punido esse vândalo,['essa atitude é vergonhosa tem que ser punido esse vândalo'],"['atitude é vergonhosa', 'esse vândalo']","Essa atitude é vergonhosa, tem q ser punido,esse vândalo",https://www.instagram.com/tv/B5EDfDPhjyf/,atitude é vergonhosa; esse vândalo; 
Bandido! Canalha e racista! Q a justiça seja feita!,1.0,bandido canalha e racista que a justiça seja feita,"['bandido', 'canalha', 'racista']","['bandido', 'canalha', 'racista']",Bandido; Canalha; racista,https://www.instagram.com/tv/B5EDfDPhjyf/,Bandido; Canalha; racista;
Até quando vamos suportar estes INSANOS ?? MINIONS DESGRAÇADOSSSSS ! SERA QUE 33 MILHOES QUE NAO FORAM VOTAR VAO FICAR COM A BUNDA NO SOFA NOVAMENTE ?? ELES NÃO SAO MAIORIA PELO AMOR DE DEUS ! OU JUNTAMOS 47 MILHOES COM QUEM NAO VOTOU. E ENTERRAMOS ESTES MALDITOS NAD URNAS EM 2022 OU NADA SOBRARÁ!!!,1.0,até quando vamos suportar estes insanos minions desgraçados será que 33 milhões que não foram votar vão ficar com a bunda no sofa novamente eles não são maioria pelo amor de deus ou juntamos 47 milhões com quem não votou e enterramos estes malditos nada urnas em 2022 ou nada sobrará,"['até quando vamos suportar estes insanos minions desgraçados', 'vão ficar com a bunda no sofa novamente', 'enterramos estes malditos nada urnas em 2022 ou nada sobrará']","['insanos', 'minions', 'ficar com a bunda no sofa', 'malditos']",Até quando vamos suportar estes INSANOS ?? MINIONS DESGRAÇADOSSSSS; VAO FICAR COM A BUNDA NO SOFA NOVAMENTE; ENTERRAMOS ESTES MALDITOS NAD URNAS EM 2022 OU NADA SOBRARÁ,https://www.instagram.com/tv/B5EDfDPhjyf/,INSANOS; MINIONS; FICAR COM A BUNDA NO SOFA; MALDITOS; 
"SuA inutil , ele defende sim , o policial ,,",1.0,sua inútil ele defende sim o policial,['sua inútil'],['sua inútil'],SuA inutil,https://www.instagram.com/tv/B5EDfDPhjyf/,SuA inutil
"Deplorável, absurdo total. Ele vai ter q ser cassado, eu tô sem direção, perdi meu norte se esse lixo continuar no parlamento 🙏",1.0,deplorável absurdo total ele vai ter que ser cassado eu estou sem direção perdi meu norte se esse lixo continuar no parlamento,"['deplorável absurdo total', 'ele vai ter que ser cassado', 'esse lixo']","['deplorável', 'absurdo total', 'esse lixo']","Deplorável, absurdo total; Ele vai ter q ser cassado; esse lixo",https://www.instagram.com/tv/B5EDfDPhjyf/,Deplorável; absurdo total;  esse lixo; 
"Os velhos coroneis agonizam. O mundo, nunca e jamais te aceitará em paz, Coronelzinho de Merda, Cala-te Tadeu! Seu tipo ja era, você ja deu!...Antes de Levantar teu chicote, pense....Quebraremos seus braços babaca! Toda solidariedade à deputada!",1.0,os velhos bondes agonizam o mundo nunca e jamais te aceitará em paz coronelismo de merda calate tadeu seu tipo já era você já deu antes de levantar teu chicote pense quebraremos seus braços babaca toda solidariedade à deputada,"['os velhos bondes agonizam', 'o mundo nunca e jamais te aceitará em paz coronelismo de merda', 'calate tadeu', 'quebraremos seus braços', 'babaca']","['coronelismo de merda', 'babaca']","Os velhos coroneis agonizam; O mundo, nunca e jamais te aceitará em paz, Coronelzinho de Merda; Cala-te Tadeu; Quebraremos seus braços; babaca",https://www.instagram.com/tv/B5EDfDPhjyf/,Coronelzinho de Merda; babaca; 
Ptistas Lixos 💩,1.0,petistas lixos,['petistas lixos'],['petistas lixos'],Ptistas Lixos,https://www.instagram.com/tv/B5EDfDPhjyf/,Ptistas Lixos 💩; 
